seq,match,half,n_frames,label,hota,deta,assa,loca,off_hota,off_deta,off_assa,off_loca,ids,gt_ids
CLPD-117093-2nd,117093,2nd,7500,5min,26.117467716607194,11.458186591359192,59.59905764394564,86.49579823097015,42.51005077318173,48.83509564606926,37.640727256879266,83.45568179570566,80,22
CLPD-117093-2nd,117093,2nd,15000,10min,20.704990728588832,11.084544590389713,38.73003971386475,85.9822929770155,35.44679245387187,49.82143896661126,25.66523995068315,83.54992444175755,103,22
CLPD-117093-2nd,117093,2nd,30000,20min,16.994373759784636,10.412001065010584,27.792824111073294,84.30766813572082,28.048255497349633,47.24436216836811,16.968421618282807,82.82982139329059,152,24
CLPD-117093-2nd,117093,2nd,70475,full,12.127527840946605,8.01196113875887,18.382967054753575,82.99838953070751,22.07625926205372,47.088105291848706,10.486849681176905,82.83556619964824,224,27
CLPD-118575-1st,118575,1st,750,30s,32.1939642219274,14.771757746468259,70.48333391750664,83.97122103716185,61.76806661043855,57.73104806819329,66.54080712705567,85.65883409829551,28,22
CLPD-118575-1st,118575,1st,1500,1min,29.105343368512752,13.269228536583125,64.48977866046759,83.56467078734639,53.21038759389268,48.00666581975156,59.67614769498499,83.66640428787272,41,22
CLPD-118575-1st,118575,1st,3000,2min,29.81865176190141,14.299877646415174,62.5921514710528,84.66360657071394,53.68163358764054,52.10578417433685,55.80275769936331,84.80035429623595,48,22
CLPD-118575-1st,118575,1st,7500,5min,21.38651952489478,11.957701693354593,38.393940944952625,83.38588796337612,39.8097512069281,44.48888490604457,36.197443613752114,82.64846260639185,81,22
CLPD-118575-1st,118575,1st,15000,10min,17.308512566585023,10.33339473811044,29.151242115065106,82.0010094162918,32.26998323159195,44.829641350951746,23.667102007320985,82.58354202267894,112,22
CLPD-118575-1st,118575,1st,30000,20min,17.158083840226805,10.354414072186085,28.58221211802703,82.4787935647254,28.90053556975099,43.386441718886964,19.654492997183137,82.36199335012094,148,22
CLPD-118575-1st,118575,1st,71850,full,16.590527303501844,10.782584624624866,25.732187708926986,82.73455401831264,26.093043546221367,44.89978430047774,15.475776370324153,82.8235303474481,335,22
CLPD-118575-2nd,118575,2nd,750,30s,25.359884021463845,9.120335922218556,70.64604990366917,83.65309276225967,63.89066630548065,55.18191326403817,74.70627346674704,85.32567513876413,36,22
CLPD-118575-2nd,118575,2nd,1500,1min,26.86121972939247,9.641068215902722,74.89389695989334,86.30718917741672,62.839115885523114,60.64195181069948,65.6897332878548,86.89300254601365,45,22
CLPD-118575-2nd,118575,2nd,3000,2min,23.328321229487255,8.303927593485401,65.59789430120266,84.01609342756848,57.620503650509534,54.84008773602827,61.30730985947282,85.71571570336009,61,22
CLPD-118575-2nd,118575,2nd,7500,5min,17.966768132927232,7.469106818012665,43.23403441068443,85.60979517022984,39.406496104804695,51.23286176482507,30.717013864202535,84.56060209564518,104,22
CLPD-118575-2nd,118575,2nd,15000,10min,16.951872044598364,7.331586164570905,39.20212812954046,85.24905495270578,38.58665408839776,51.49622033555025,29.268327957259622,84.74563433532643,162,22
CLPD-118575-2nd,118575,2nd,30000,20min,13.623066886172278,6.0202547170861065,30.85761998056632,85.36972251886745,29.58399269944328,47.866632387872684,18.57675898676495,83.56295038975068,268,25
CLPD-118575-2nd,118575,2nd,73425,full,12.208946614072804,6.83031517529343,21.835316830167685,85.70827695385044,23.710707544289882,46.01499184966832,12.398603207674652,83.20205750175894,422,29
CLPD-118576-1st,118576,1st,750,30s,34.05153565999958,14.705402553738466,78.91980903348481,88.64920446126354,48.798106500701905,42.75916454793398,56.494959376233176,82.22209441830647,31,22
CLPD-118576-1st,118576,1st,1500,1min,31.149674787570227,13.755366105085876,70.57841438442067,86.44174068098204,46.499266528215,42.83907120807541,51.02640804108006,81.62963745700155,39,22
